統計年度,按照別,區域別,生母年齡,出生者性別,嬰兒出生數
113,按登記日期分,新北市永和區,49歲,男,0
113,按登記日期分,新北市永和區,50歲以上,男,1
113,按登記日期分,新北市永和區,未滿15歲,女,0
113,按登記日期分,新北市永和區,15歲,女,0
113,按登記日期分,新北市永和區,16歲,女,0
113,按登記日期分,新北市永和區,17歲,女,0
113,按登記日期分,新北市永和區,18歲,女,0
113,按登記日期分,新北市永和區,19歲,女,1
113,按登記日期分,新北市永和區,20歲,女,1
113,按登記日期分,新北市永和區,21歲,女,3
113,按登記日期分,新北市永和區,22歲,女,3
113,按登記日期分,新北市永和區,23歲,女,2
113,按登記日期分,新北市永和區,24歲,女,4
113,按登記日期分,新北市永和區,25歲,女,13
113,按登記日期分,新北市永和區,26歲,女,5
113,按登記日期分,新北市永和區,27歲,女,12
113,按登記日期分,新北市永和區,28歲,女,6
113,按登記日期分,新北市永和區,29歲,女,16
113,按登記日期分,新北市永和區,30歲,女,19
113,按登記日期分,新北市永和區,31歲,女,19
113,按登記日期分,新北市永和區,32歲,女,19
113,按登記日期分,新北市永和區,33歲,女,29
113,按登記日期分,新北市永和區,34歲,女,20
113,按登記日期分,新北市永和區,35歲,女,29
113,按登記日期分,新北市永和區,36歲,女,15
113,按登記日期分,新北市永和區,37歲,女,21
113,按登記日期分,新北市永和區,38歲,女,20
113,按登記日期分,新北市永和區,39歲,女,17
113,按登記日期分,新北市永和區,40歲,女,11
113,按登記日期分,新北市永和區,41歲,女,11
113,按登記日期分,新北市永和區,42歲,女,9
113,按登記日期分,新北市永和區,43歲,女,3
113,按登記日期分,新北市永和區,44歲,女,1
113,按登記日期分,新北市永和區,45歲,女,1
113,按登記日期分,新北市永和區,46歲,女,0
113,按登記日期分,新北市永和區,47歲,女,0
113,按登記日期分,新北市永和區,48歲,女,2
113,按登記日期分,新北市永和區,49歲,女,0
113,按登記日期分,新北市永和區,50歲以上,女,1
113,按登記日期分,新北市新莊區,未滿15歲,男,0
113,按登記日期分,新北市新莊區,15歲,男,0
113,按登記日期分,新北市新莊區,16歲,男,0
113,按登記日期分,新北市新莊區,17歲,男,0
113,按登記日期分,新北市新莊區,18歲,男,6
113,按登記日期分,新北市新莊區,19歲,男,4
113,按登記日期分,新北市新莊區,20歲,男,5
113,按登記日期分,新北市新莊區,21歲,男,2
113,按登記日期分,新北市新莊區,22歲,男,7
113,按登記日期分,新北市新莊區,23歲,男,13
113,按登記日期分,新北市新莊區,24歲,男,17
113,按登記日期分,新北市新莊區,25歲,男,30
113,按登記日期分,新北市新莊區,26歲,男,28
113,按登記日期分,新北市新莊區,27歲,男,26
113,按登記日期分,新北市新莊區,28歲,男,53
113,按登記日期分,新北市新莊區,29歲,男,63
113,按登記日期分,新北市新莊區,30歲,男,70
113,按登記日期分,新北市新莊區,31歲,男,78
113,按登記日期分,新北市新莊區,32歲,男,85
113,按登記日期分,新北市新莊區,33歲,男,94
113,按登記日期分,新北市新莊區,34歲,男,76
113,按登記日期分,新北市新莊區,35歲,男,79
113,按登記日期分,新北市新莊區,36歲,男,66
